FSDEPDED              R        Reported dependent care deduction,FSDEPDED
FSDEPDE2              C        Marginal effectiveness of dependent care deduction,FSDEPDE2
FSERNDED              C        Calculated earned income deduction,FSERNDED
FSERNDE2              C        Marginal effectiveness of earned income deduction,FSERNDE2
FSMEDDED              C        Calculated medical deduction,FSMEDDED
FSMEDDE2              C        Marginal effectiveness of medical deduction,FSMEDDE2
FSMEDEXP              R        Reported medical expenses,FSMEDEXP
FSSLTDED              C        Calculated excess shelter deduction,FSSLTDED
FSSLTDE2              C        Marginal effectiveness of excess shelter deduction,FSSLTDE2
FSSLTEXP              C        Calculated shelter expenses,FSSLTEXP
FSSTDDED              C        Standard deduction,FSSTDDED
FSSTDDE2              C        Marginal effectiveness of standard deduction,FSSTDDE2
FSTOTDED              C        Total deductions,FSTOTDED
FSTOTDE2              C        Marginal effectiveness of total deduction,FSTOTDE2
HOMEDED               R        Indicator of homelessness,HOMEDED
HOMELESS_DED          C        Amount of homeless deduction,HOMELESS_DED
RAWERND               R        Reported earned income deduction,RAWERND
RENT                  R        Rent/mortgage amount,RENT
SHELCAP               C        Maximum allowable shelter expense deduction,SHELCAP
SHELDED               R        Reported shelter deduction,SHELDED
SUA1                  R        Standard utility allowance – usage and entitlement,SUA1
SUA2                  R        Standard utility allowance – prorated,SUA2
UTIL                  R        Utility amount,UTIL
Unit Benefits,
AMTERR                R        Amount of benefit allotment in error,AMTERR
ASSLIM                C        Asset limit,ASSLIM
BENMAX                C        Maximum benefit amount,BENMAX
FSASTEST              C        Indicator of passing asset test,FSASTEST
FSBEN                 C        Final calculated benefit,FSBEN
FSGRTEST              C        Indicator of passing gross income test,FSGRTEST
FSMINBEN              C        Received minimum benefit,FSMINBEN
FSNETEST              C        Indicator of passing net income test,FSNETEST
GROSSCRN              C        Gross income screen,GROSSCRN
NETSCRN               C        Net income screen,NETSCRN
RAWBEN                R        Reported FSP benefit received,RAWBEN
Person-Level Characteristics: i = 1 to 16,
ABWDSTi                  R      ABAWD status,ABWDSTi
AGEi                     R      Age,AGEi
CTZNi                    R      Citizenship status,CTZNi
DPCOSTi                  R      Reported dependent care cost,DPCOSTi
EMPRGi                   R      FSP Employment and training program status,EMPRGi
EMPSTAi                  R      Employment status – type,EMPSTAi
EMPSTBi                  R      Employment status – amount,EMPSTBi
FSAFILi                  R      Food stamp case affiliation,FSAFILi
FSUNi                    C      Position of head of FSP unit,FSUNi
RACETHi                  R      Race/ethnicity,RACETHi
RELi                     R      Relationship to head of household,RELi
SEXi                     R      Sex,SEXi
WRKREGi                  R      Work registration status,WRKREGi
YRSEDi                   R      Highest educational level completed,YRSEDi
Person-Level Countable Income (Monthly Dollar Amounts): i = 1 to 16,
CONTi                    R      Countable income from contributions,CONTi
CSUPRTi                  R      Countable child support payment income,CSUPRTi
DEEMi                    R      Countable deemed income,DEEMi
DIVERi                   R      Countable State diversion payments,DIVERi
EDLOANi                  R      Countable income from educational grants and loans,EDLOANi
EITCi                    R      Countable earned income tax credit payments,EITCi
ENERGYi                  R      Countable energy assistance income,ENERGYi
GAi                      R      Countable general assistance benefits,GAi
OTHERNi                  R      Countable other earned income,OTHERNi
OTHGOVi                  R      Countable income from other government benefits,OTHGOVi
OTHUNi                   R      Countable other unearned income,OTHUNi
SLFEMPi                  R      Countable self-employment income,SLFEMPi
SOCSECi                  R      Countable social security income,SOCSECi
SSIi                     R      Countable SSI benefits,SSIi
TANFi                    R      Countable TANF payments,TANFi
UNEMPi                   R      Countable unemployment compensation benefits,UNEMPi
VETi                     R      Countable veterans' benefits,VETi
WAGESi                   R      Countable wages and salaries,WAGESi
WCOMPi                   R      Countable workers' compensation benefits,WCOMPi
WGESUPi                  R      Countable wage supplementation income,WGESUPi
Detailed Error Findings: i = 1 to 9,
AGENCYi                  R      Agency or client responsibility,AGENCYi
AMOUNTi                  R      Variance dollar amount,AMOUNTi
DISCOVi                  R      Variance discovery,DISCOVi
E_FINDGi                 R      Error finding,E_FINDGi
ELEMENTi                 R      Variance element,ELEMENTi
NATUREi                  R      Nature of variance,NATUREi
OCCDATEi                 R      Variance occurrence date,OCCDATEi
TIMEPERi                 R      Variance time period,TIMEPERi
VERIFi                   R      Variance verification,VERIFi
